32,32,100,21,3887,3908
32,32,100,17,2753,2770
32,32,100,17,2598,2615
32,32,100,17,3423,3440
32,32,100,17,2734,2751
32,32,100,32,2916,2948
32,32,100,16,2785,2801
32,32,100,17,2798,2815
32,32,100,17,3021,3038
32,32,100,25,3558,3583
64,64,100,63,11759,11822
64,64,100,78,11776,11854
64,64,100,61,11522,11583
64,64,100,63,11446,11509
64,64,100,61,11375,11436
64,64,100,61,12365,12426
64,64,100,61,11535,11596
64,64,100,102,12776,12878
64,64,100,79,11548,11627
64,64,100,61,11467,11528
128,128,100,290,45347,45637
128,128,100,243,46182,46425
128,128,100,287,46491,46778
128,128,100,245,45616,45861
128,128,100,270,44938,45208
128,128,100,243,46888,47131
128,128,100,243,46398,46641
128,128,100,328,48151,48479
128,128,100,245,45953,46198
128,128,100,244,44453,44697
256,256,100,1147,183168,184315
256,256,100,1538,195448,196986
256,256,100,1208,185016,186224
256,256,100,1020,183943,184963
256,256,100,1069,182332,183401
256,256,100,1016,182527,183543
256,256,100,1188,188704,189892
256,256,100,1025,181157,182182
256,256,100,1189,186153,187342
256,256,100,1036,179363,180399
512,512,100,4126,743267,747393
512,512,100,4054,733253,737307
512,512,100,4150,737004,741154
512,512,100,4777,735371,740148
512,512,100,4130,732645,736775
512,512,100,4119,735799,739918
512,512,100,4451,736613,741064
512,512,100,4277,749423,753700
512,512,100,4531,739018,743549
512,512,100,4320,745401,749721
1024,1024,100,18023,2961646,2979669
1024,1024,100,18184,2962518,2980702
1024,1024,100,17612,2977904,2995516
1024,1024,100,18269,3014922,3033191
1024,1024,100,18715,2979716,2998431
1024,1024,100,17415,2956664,2974079
1024,1024,100,17801,3006028,3023829
1024,1024,100,17635,2956275,2973910
1024,1024,100,17913,2960489,2978402
1024,1024,100,17724,2961134,2978858
2048,2048,100,72068,11856460,11928528
2048,2048,100,71765,11927065,11998830
2048,2048,100,72306,11935230,12007536
2048,2048,100,71528,11802882,11874410
2048,2048,100,71254,11784341,11855595
2048,2048,100,71275,11898947,11970222
2048,2048,100,71326,11827950,11899276
2048,2048,100,71080,11823796,11894876
2048,2048,100,72368,11896052,11968420
2048,2048,100,73852,11830745,11904597
4096,4096,100,292666,46587598,46880264
4096,4096,100,287462,46974416,47261878
4096,4096,100,293486,47245523,47539009
4096,4096,100,293393,47363570,47656963
4096,4096,100,294180,47652431,47946611
4096,4096,100,302277,47742895,48045172
4096,4096,100,326042,48608148,48934190
4096,4096,100,282977,46859998,47142975
4096,4096,100,293137,45502385,45795522
